6650,1552.04,1.2600,0.0500,69.0,88.9
6700,1577.52,1.3326,0.0500,71.0,89.3
6750,1659.17,1.1522,0.0500,79.0,92.2
6800,1671.99,1.1453,0.0500,81.0,93.2
6850,1597.69,1.1692,0.0500,75.0,90.5
6900,1633.54,1.1635,0.0500,78.0,91.2
6950,1693.74,1.2108,0.0500,83.0,93.2
7000,1694.34,1.1499,0.0500,83.0,93.6
7050,1702.15,1.1243,0.0500,84.0,93.9
7100,1680.47,1.1325,0.0500,81.0,93.5
7150,1689.84,1.1428,0.0500,82.0,93.8
7200,1755.69,1.1182,0.0500,89.0,95.9
7250,1726.32,1.0813,0.0500,85.0,94.9
7300,1672.38,1.0924,0.0500,80.0,93.0
7350,1658.69,1.1652,0.0500,80.0,92.6
7400,1648.40,1.1910,0.0500,79.0,92.1
7450,1644.69,1.1827,0.0500,79.0,92.1
7500,1659.18,1.1983,0.0500,80.0,92.5
7550,1644.33,1.1392,0.0500,79.0,92.1
7600,1615.29,1.1833,0.0500,77.0,91.2
7650,1656.54,1.1597,0.0500,80.0,92.4
7700,1683.17,1.1282,0.0500,81.0,92.9
7750,1641.21,1.1459,0.0500,77.0,91.6
7800,1605.69,1.1413,0.0500,74.0,90.6
7850,1621.63,1.2181,0.0500,76.0,91.2
7900,1614.14,1.1540,0.0500,76.0,91.1
7950,1624.91,1.2033,0.0500,77.0,91.3
8000,1640.07,1.1415,0.0500,79.0,91.8
8050,1642.20,1.1291,0.0500,81.0,92.9
8100,1656.02,1.1830,0.0500,82.0,93.4
8150,1611.74,1.1539,0.0500,77.0,90.5
8200,1589.43,1.2323,0.0500,76.0,89.4
8250,1654.48,1.2308,0.0500,81.0,91.9
8300,1687.44,1.1847,0.0500,83.0,93.5
8350,1692.14,1.1387,0.0500,83.0,94.1
8400,1717.72,1.1090,0.0500,85.0,94.9
8450,1612.68,1.2287,0.0500,75.0,90.2
8500,1629.60,1.2236,0.0500,76.0,90.8
8550,1728.74,1.1024,0.0500,85.0,94.7
8600,1714.56,1.0527,0.0500,84.0,94.0
8650,1689.40,1.1058,0.0500,81.0,93.3
8700,1706.57,1.1051,0.0500,83.0,94.1
8750,1641.22,1.1538,0.0500,78.0,91.6
8800,1539.98,1.1610,0.0500,69.0,87.9
8850,1597.66,1.2182,0.0500,75.0,90.4
8900,1660.09,1.1864,0.0500,81.0,92.2
8950,1630.32,1.2042,0.0500,78.0,91.1
9000,1617.40,1.2420,0.0500,76.0,91.2
9050,1660.00,1.1790,0.0500,80.0,92.7
9100,1650.49,1.1752,0.0500,79.0,92.4
9150,1625.06,1.1980,0.0500,76.0,91.5
9200,1621.99,1.2315,0.0500,75.0,91.3
9250,1610.39,1.2391,0.0500,75.0,91.1
9300,1616.41,1.2173,0.0500,77.0,91.4
9350,1626.28,1.1676,0.0500,77.0,91.3
9400,1559.89,1.1809,0.0500,70.0,88.9
9450,1583.23,1.2133,0.0500,72.0,89.7
9500,1669.69,1.1650,0.0500,80.0,92.4
9550,1625.44,1.1952,0.0500,76.0,90.8
9600,1650.22,1.1748,0.0500,79.0,91.9
9650,1698.31,1.1431,0.0500,84.0,94.2
9700,1648.45,1.2426,0.0500,79.0,92.4
9750,1630.23,1.1635,0.0500,77.0,91.0
9800,1615.10,1.0928,0.0500,75.0,90.4
9850,1574.51,1.1695,0.0500,70.0,89.4
9900,1576.01,1.1791,0.0500,71.0,89.4
9950,1537.02,1.1699,0.0500,68.0,87.8
10000,1588.53,1.2116,0.0500,72.0,89.7
10050,1716.40,1.1297,0.0500,84.0,94.2
10100,1674.90,1.2220,0.0500,81.0,92.8
10150,1664.77,1.1438,0.0500,80.0,92.5
10200,1628.35,1.2071,0.0500,76.0,91.5
10250,1593.31,1.1820,0.0500,73.0,90.1
